date,spx,tsy
1973-01-31,116.29,98.99
1973-02-28,112.1908,98.73
1973-03-30,112.2812,98.73
1973-04-30,107.9821,99.66
1973-05-31,106.2256,99.88
1973-06-29,105.8005,100.15
1973-07-31,110.1032,98.04
1973-08-31,106.349,99.96
1973-09-28,110.8886,102.16
1973-10-31,111.0726,103.01
1973-11-30,98.754,103.61
1973-12-31,100.7094,103.51
1974-01-31,99.9867,104.25
1974-02-28,99.9142,104.6
1974-03-29,97.8686,102.91
1974-04-30,94.3591,102.08
1974-05-31,91.5067,103.33
1974-06-28,90.4688,103.3
1974-07-31,83.7573,103.44
1974-08-30,76.5232,103.5
1974-09-30,67.7095,106.05
1974-10-31,79.0903,107.31
1974-11-29,75.2267,109.46
1974-12-31,74.0549,110.81
1975-01-31,83.4737,112.09
1975-02-28,88.7979,113.46
1975-03-31,91.0508,113.02
1975-04-30,95.6929,111.47
1975-05-30,100.2528,113.71
1975-06-30,105.0373,114.2
1975-07-31,98.2731,113.85
1975-08-29,96.5457,114.26
1975-09-30,93.5342,114.03
1975-10-31,99.6457,117.57
1975-11-28,102.4546,117.5
1975-12-31,101.6237,119.75
1976-01-30,113.9957,120.98
1976-02-27,113.035,121.19
1976-03-31,116.844,122.42
1976-04-30,115.9344,123.23
1976-05-31,114.6455,122.36
1976-06-30,119.7266,123.97
1976-07-30,119.1526,125.22
1976-08-31,118.9337,126.98
1976-09-30,122.0079,128.14
1976-10-29,119.7356,129.65
1976-11-30,119.2469,132.68
1976-12-31,125.9392,133.9
1977-01-31,119.9856,131.65
1977-02-28,117.7983,132.37
1977-03-31,116.5592,133.28
1977-04-29,117.0447,134.04
1977-05-31,114.75,134.81
1977-06-30,120.4206,136.3
1977-07-29,118.9225,135.73
1977-08-31,116.8773,136.8
1977-09-30,117.0585,136.82
1977-10-31,112.4989,136.27
1977-11-30,116.0564,137.49
1977-12-30,116.9253,137.48
1978-01-31,110.2122,137.59
1978-02-28,107.9771,137.9
1978-03-31,111.1529,138.3
1978-04-28,121.183,138.6
1978-05-31,122.2968,138.71
1978-06-30,120.6124,138.48
1978-07-31,127.6448,139.79
1978-08-31,131.4863,141.1
1978-09-29,131.0663,141.4
1978-10-31,119.6392,139.82
1978-11-30,122.2079,141.13
1978-12-29,124.6082,140.31
1979-01-31,130.1314,142.87
1979-02-28,125.9512,142.77
1979-03-30,133.4602,144.34
1979-04-30,134.3009,144.54
1979-05-31,131.3842,146.99
1979-06-29,137.0995,149.86
1979-07-31,138.9379,149.66
1979-08-31,146.9549,149.21
1979-09-28,147.5867,149.02
1979-10-31,138.1364,143.01
1979-11-30,144.7027,147.29
1979-12-31,147.7968,148.35
1980-01-31,156.9845,145.89
1980-02-29,156.9707,138.73
1980-03-31,141.7101,140.26
1980-04-30,148.2619,153.61
1980-05-30,155.8918,159.2
1980-06-30,160.8248,161.47
1980-07-31,172.0166,159.47
1980-08-29,173.7556,154.73
1980-09-30,178.8669,154.07
1980-10-31,182.4881,152.24
1980-11-28,201.9295,152.02
1980-12-31,195.8365,156.67
1981-01-30,187.643,156.79
1981-02-27,190.902,154.8
1981-03-31,198.5369,158.68
1981-04-30,194.6975,154.95
1981-05-29,195.196,159.43
1981-06-30,193.9741,159.66
1981-07-31,194.3732,157.11
1981-08-31,183.1491,155.41
1981-09-30,174.1251,156.22
1981-10-30,183.5223,164.7
1981-11-30,191.0957,175.78
1981-12-31,186.1954,171.14
1982-01-29,183.7645,172.24
1982-02-26,173.4926,174.71
1982-03-31,172.5876,176.68
1982-04-30,180.3877,180.99
1982-05-31,173.3234,183.63
1982-06-30,171.6258,181.36
1982-07-30,168.5725,188.54
1982-08-31,189.0361,196.85
1982-09-30,191.3929,203.81
1982-10-29,213.4217,213.14
1982-11-30,222.0409,214.59
1982-12-31,226.3202,218.78
1983-01-31,234.7364,218.37
1983-02-28,240.1161,223.96
1983-03-31,248.987,223.35
1983-04-29,268.6019,228.31
1983-05-31,266.2658,225.76
